year,variableA,variableB,variableC,variableD,variableE,variableF
2017-12-19,38.20256,57.26283,42.58469,33.82044,61.38708,53.13858
2017-12-20,38.77604,56.78464,43.37341,34.17867,60.9945,52.57477
2017-12-21,38.74059,56.77304,43.34423,34.13694,60.98219,52.5639
2017-12-22,38.84623,56.60857,43.48132,34.21114,60.82695,52.39019
2017-12-23,38.84623,56.60857,43.48132,34.21114,60.82695,52.39019
2017-12-24,38.84623,56.60857,43.48132,34.21114,60.82695,52.39019
2017-12-25,38.84623,56.60857,43.48132,34.21114,60.82695,52.39019
2017-12-26,38.8737,56.64392,43.41353,34.33386,60.78534,52.50251
2017-12-27,39.06779,56.30027,43.80937,34.32621,60.57754,52.02301
2017-12-28,39.59424,55.86306,44.46544,34.72304,60.28429,51.44183
2017-12-29,39.47977,55.76954,44.27288,34.68666,60.13069,51.40839
2017-12-30,39.47977,55.76954,44.27288,34.68666,60.13069,51.40839
2017-12-31,39.47977,55.76954,44.27288,34.68666,60.13069,51.40839
2018-01-01,39.47977,55.76954,44.27288,34.68666,60.13069,51.40839
2018-01-02,39.89989,55.2852,44.6306,35.16919,59.59282,50.97758
2018-01-03,40.21217,55.12443,44.87788,35.54647,59.37215,50.8767
2018-01-04,40.28809,55.00038,45.02804,35.54815,59.29904,50.70172
2018-01-05,40.64473,54.73632,45.25613,36.03334,58.91682,50.55581
2018-01-06,40.64473,54.73632,45.25613,36.03334,58.91682,50.55581
2018-01-07,40.64473,54.73632,45.25613,36.03334,58.91682,50.55581
2018-01-08,40.48848,54.79395,45.01125,35.96571,58.93571,50.65219
2018-01-09,40.5409,54.79406,45.0532,36.02861,58.93209,50.65604
